region,lat,lon,temperature,dayNight,precip,traffic,severity,cnt
"37.03,-113.55",37.03,-113.55,80+,Night,False,True,0,0
"37.03,-113.67",37.03,-113.67,< 80,Day,False,True,2,1
"37.03,-113.67",37.03,-113.67,< 80,Night,False,False,14,7
"37.03,-113.67",37.03,-113.67,80+,Day,False,True,2,1
"37.03,-113.67",37.03,-113.67,<= 32,Night,True,True,0,0
"37.03,-113.67",37.03,-113.67,< 80,Night,False,True,2,1
"37.03,-113.67",37.03,-113.67,< 80,nan,False,False,12,6
"37.03,-113.67",37.03,-113.67,< 80,nan,True,False,4,2
"37.03,-113.67",37.03,-113.67,80+,Night,False,False,0,0
"37.03,-113.67",37.03,-113.67,80+,Night,False,True,0,0
"37.03,-113.67",37.03,-113.67,80+,Night,True,False,0,0
"37.03,-113.67",37.03,-113.67,80+,Night,True,True,0,0
"37.03,-113.67",37.03,-113.67,80+,Day,True,False,0,0
"37.03,-113.67",37.03,-113.67,80+,Day,True,True,0,0
"37.03,-113.67",37.03,-113.67,< 80,Night,True,False,0,0
"37.03,-113.67",37.03,-113.67,< 80,Night,True,True,0,0
"37.03,-113.67",37.03,-113.67,< 80,Day,True,True,0,0
